Time,EncoderAngle
1644557718.9425435,195.00
1644557718.9510539,198.00
1644557718.9587877,201.00
1644557718.9672246,204.00
1644557718.9744043,207.00
1644557718.983711,210.00
1644557718.9916298,213.00
1644557719.0001657,216.00
1644557719.0122383,219.00
1644557719.0201595,222.00
1644557719.0287948,225.00
1644557719.0360677,228.00
1644557719.0451658,231.00
1644557719.052303,234.00
1644557719.0615182,237.00
1644557719.0693836,240.00
1644557719.0770483,243.00
1644557719.0856125,246.00
1644557719.09343,249.00
1644557719.102614,252.00
1644557719.1106062,255.00
1644557719.1188793,258.00
1644557719.1268919,261.00
1644557719.1351964,264.00
1644557719.1427298,267.00
1644557719.1517425,270.00
1644557719.1593637,273.00
1644557719.1679711,276.00
1644557719.1753807,279.00
1644557719.1842291,282.00
1644557719.1921954,285.00
1644557719.2007031,288.00
1644557719.2086568,291.00
1644557719.2169406,294.00
1644557719.2249846,297.00
1644557719.2324898,300.00
1644557719.2413898,303.00
1644557719.249627,306.00
1644557719.2620978,309.00
1644557719.2694228,312.00
1644557719.2785237,315.00
1644557719.2855418,318.00
1644557719.293691,321.00
1644557719.3025413,324.00
1644557719.3108258,327.00
1644557719.3192582,330.00
1644557719.3271677,333.00
1644557719.3355112,336.00
1644557719.343495,339.00
1644557719.3525083,342.00
1644557719.359496,345.00
1644557719.368791,348.00
1644557719.3765955,351.00
1644557719.3850229,354.00
1644557719.3928952,357.00
1644557719.4014995,360.00
1644557719.4093537,363.00
1644557719.4177501,366.00
1644557719.425748,369.00
1644557719.4338472,372.00
1644557719.44212,375.00
1644557719.4506445,378.00
1644557719.458496,381.00
1644557719.4666376,384.00
1644557719.4747927,387.00
1644557719.4831283,390.00
1644557719.4912698,393.00
1644557719.4994588,396.00
1644557719.512031,399.00
1644557719.518997,402.00
1644557719.5284069,405.00
1644557719.5360281,408.00
1644557719.544218,411.00
1644557719.5520263,414.00
1644557719.5607104,417.00
1644557719.5689805,420.00
1644557719.5769625,423.00
1644557719.585558,426.00
1644557719.5929835,429.00
1644557719.6021922,432.00
1644557719.6092134,435.00
1644557719.6184494,438.00
1644557719.6263714,441.00
1644557719.6348915,444.00
1644557719.6424878,447.00
1644557719.6514428,450.00
1644557719.659472,453.00
1644557719.667685,456.00
1644557719.675571,459.00
1644557719.6836145,462.00
1644557719.6916542,465.00
1644557719.7000384,468.00
1644557719.7082164,471.00
1644557719.7166402,474.00
1644557719.7244759,477.00
1644557719.7325044,480.00
1644557719.7410395,483.00
1644557719.7492332,486.00
1644557719.7619107,489.00
1644557719.7696288,492.00
1644557719.7781017,495.00
1644557719.7856178,498.00
1644557719.793908,501.00
1644557719.8018909,504.00
1644557719.8104563,507.00
1644557719.8187084,510.00
1644557719.8267045,513.00
1644557719.8347232,516.00
1644557719.8436954,519.00
1644557719.8516865,522.00
1644557719.8596663,525.00
1644557719.8676436,528.00
1644557719.8756235,531.00
1644557719.8836334,534.00
1644557719.8925776,537.00
1644557719.9005556,540.00
1644557719.9085348,543.00
1644557719.9165123,546.00
1644557719.9255354,549.00
1644557719.9334943,552.00
1644557719.9414525,555.00
1644557719.9494247,558.00
1644557719.9584105,561.00
1644557719.9663801,564.00
1644557719.9743629,567.00
1644557719.9823372,570.00
1644557719.9908373,573.00
1644557719.9990342,576.00
1644557720.0113328,579.00
1644557720.0190787,582.00
1644557720.02752,585.00
1644557720.0354521,588.00
1644557720.0434637,591.00
1644557720.05148,594.00
1644557720.060462,597.00
1644557720.068438,600.00
1644557720.0764222,603.00
1644557720.0850294,606.00
1644557720.0924935,609.00
1644557720.1014783,612.00
1644557720.1095119,615.00
1644557720.117855,618.00
1644557720.1254625,621.00
1644557720.133518,624.00
1644557720.1425471,627.00
1644557720.1508825,630.00
1644557720.1587658,633.00
