Time,EulerAngle1,EulerAngle2,EulerAngle3
20.0,-179.5974052167997,-0.40258532606574043,89.99861982681136
20.01,-179.02436011834007,-0.9754996318995973,89.99172839211228
20.02,-178.4511198640616,-1.5483163471792194,89.97910386140475
20.03,-177.87756974767495,-2.1209780718643176,89.96074119315058
20.04,-177.30359493835093,-2.693427298523914,89.93663304937398
20.05,-176.72908043518555,-3.2656063718227,89.90676979561445
20.06,-176.15391102290187,-3.8374574473140153,89.87113950314128
20.07,-175.5779712269079,-4.408922450951626,89.829727947923
20.080000000000002,-175.0011452687401,-4.979943038440956,89.78251860948062
20.09,-174.4233170219611,-5.550460554408459,89.72949266966799
20.1,-173.84436996859213,-6.120415991361323,89.67062901143036
20.11,-173.26418715616376,-6.68974994841035,89.60590421759998
20.12,-172.68265115546743,-7.258402589736795,89.53529256979535
20.13,-172.09964401910543,-7.8263136027736175,89.45876604749996
20.14,-171.51504724093124,-8.393422156085258,89.37629432740404
20.150000000000002,-170.92874171649132,-8.959666856918728,89.28784478310291
20.16,-170.34060770457452,-9.524985708411318,89.19338248525445
20.17,-169.75052478999132,-10.089316066434755,89.09287020230863
20.18,-169.15837184771289,-10.65259459605735,88.98626840193266
20.19,-168.56402700850222,-11.214757227614589,88.8735352532653
20.2,-167.96736762619122,-11.775739112369497,88.75462663014767
20.21,-167.36827024675523,-12.335474577758955,88.62949611548711
20.22,-166.76661057936118,-12.893897082212112,88.49809500692675
20.23,-166.16226346956427,-13.45093916954235,88.36037232400344
20.240000000000002,-165.55510287612688,-14.006532422880854,88.21627481957339
20.25,-164.9450018519989,-14.560607418247683,88.06574699588576
20.26,-164.33183251815663,-15.113093677847525,87.90873110289976
20.27,-163.7154660503975,-15.663919622626572,87.74516715982176
20.28,-163.0957726669163,-16.213012524563137,87.5749929737888
20.29,-162.47262161906986,-16.760298458585243,87.39814416071475
20.3,-161.84588118597884,-17.305702254134694,87.21455416935493
20.31,-161.2154186732821,-17.849147446401386,87.02415430890923
20.32,-160.58110041636638,-18.390556227270128,86.82687378050018
20.330000000000002,-159.9427917884278,-18.929849396017126,86.62263971288705
20.34,-159.3003572137303,-19.466946309811014,86.41137720279484
20.35,-158.65366018645557,-20.001764834074873,86.19300936026131
20.36,-158.00256329556203,-20.53422129277395,85.96745735942835
20.37,-157.34692825608516,-21.06423041870981,85.7346404952237
20.38,-156.68661594734678,-21.59170530390085,85.49447624640743
20.39,-156.02148645855132,-22.116557350151577,85.24688034547584
20.400000000000002,-155.35139914228404,-22.63869621991269,84.9917668559447
20.41,-154.67621267643784,-23.158029787556398,84.72904825755218
20.42,-153.9957851351257,-23.674464091198104,84.4586355399487
20.43,-153.30997406915955,-24.187903285209078,84.1804383054634
20.44,-152.6186365966893,-24.69824959358604,83.89436488155553
20.45,-151.92162950463114,-25.205403264349005,83.60032244358707
20.46,-151.21880936716687,-25.709262526491273,83.29821715641383
20.47,-150.51003266694354,-26.20972354620161,82.98795431397004
20.48,-149.79515592689984,-26.706680384201707,82.6694384889341
20.490000000000002,-149.07403586591477,-27.200024957421462,82.34257370991772
20.5,-148.34652956413035,-27.689647001823637,82.0072636459432
20.51,-147.61249464311106,-28.17543403769425,81.66341180535252
20.52,-146.87178946154094,-28.657271337705847,81.31092174985811
20.53,-146.12427332714554,-29.135041898088485,80.94969732443573
20.54,-145.36980672552792,-29.608626413255998,80.57964290375456
20.55,-144.60825156657359,-30.077903254268797,80.20066365581371
20.56,-143.83947144906898,-30.542748451526286,79.81266582343446
20.57,-143.06333194412508,-31.003035682116035,79.41555702421452
20.580000000000002,-142.27970089796997,-31.458636262259244,79.00924656951281
20.59,-141.48844875460154,-31.90941914532376,78.5936458029685
20.6,-140.68944889873265,-32.3552509258923,78.16866845899509
20.61,-139.88257801938025,-32.79599585039442,77.73423104160777
20.62,-139.06771649434268,-33.231515834836145,77.29025322384123
20.63,-138.24474879571562,-33.66167049017048,76.83665826791261
20.64,-137.41356391645087,-34.08631715587768,76.37337346614646
20.650000000000002,-136.5740558178365,-34.50531094232814,75.90033060254497
20.66,-135.72612389759715,-34.91850478251944,75.41746643471376
20.67,-134.869673479231,-35.325749494218286,74.92472319688571
20.68,-134.00461632976462,-35.726893856232216,74.4220491318538
20.69,-133.1308711697658,-36.12178468524057,73.90939901192776
20.7,-132.24836422041227,-36.51026693234073,73.38673469949644
20.71,-131.35702976592384,-36.89218379160586,72.85402572236997
20.72,-130.45681072783552,-37.26737682048263,72.31124986041488
20.73,-129.547659251696,-37.63568607359419,71.75839374440204
20.740000000000002,-128.6295373039296,-37.99695025043437,71.19545346480888
20.75,-127.70241727625996,-38.351006857402396,70.62243518798388
20.76,-126.7662825947685,-38.697692384568725,70.03935577675234
20.77,-125.82112833032143,-39.03684249749953,69.44624341220239
20.78,-124.86696180673947,-39.36829224439761,68.84313821303545
20.79,-123.9038032027595,-39.691876278726475,68.2300928485328
20.8,-122.9316861434772,-40.007429097396766,67.60717314083779
20.81,-121.95065827665397,-40.31478529448069,66.97445865193922
20.82,-120.96078182894126,-40.61377983031051,66.33204325041933
20.830000000000002,-119.9621341368146,-40.90424831568306,65.68003565276071
20.84,-118.95480814673932,-41.186027310761446,65.0185599337433
20.85,-117.93891287889457,-41.45895463811452,64.34775600026259
20.86,-116.91457384862048,-41.722869709181,63.667780022738484
20.87,-115.88193343964036,-41.97761386328679,62.97880481817556
20.88,-114.84115122309197,-42.22303071817269,62.281020178909834
20.89,-113.79240422248294,-42.45896653350985,61.574633146395996
20.900000000000002,-112.73588711184644,-42.68527058290462,60.85986821784416
20.91,-111.67181231494573,-42.901795521221594,60.136967457533316
20.92,-110.60041006072908,-43.108397772280874,59.4061905603822
20.93,-109.52192834654582,-43.304937915691056,58.667814824260766
20.94,-108.43663281447459,-43.49128107517493,57.92213503539415
20.95,-107.34480653749272,-43.66729730648008,57.16946326352126
20.96,-106.24674971229132,-43.832861982591425,56.41012856362156
20.97,-105.14277925633576,-43.987856173854624,55.64447658181038
20.98,-104.03322830760489,-44.132167020543584,54.87286906384553
20.990000000000002,-102.91844562639875,-44.26568809534399,54.09568326563561
21.0,-101.79879489957943,-44.38831975319947,53.31331126612271
21.01,-100.67465394867081,-44.49996946596477,52.52615918396868
21.02,-99.5464138443234,-44.600552139340806,51.734646300554886
21.03,-98.41447793073509,-44.6899904096311,50.93920409289357
21.04,-97.27926076473521,-44.76821491795209,50.14027518115958
21.05,-96.14118697528613,-44.835164559659724,49.338312196604655
21.06,-95.00069005021065,-44.890786706912536,48.53377657666357
21.07,-93.85821105789107,-44.935037402483076,47.72713729500618
21.080000000000002,-92.71419731259074,-44.96788152314613,46.91886953518694
21.09,-91.569100992802,-44.989292911217625,46.10945331730345
21.1,-90.42337772287794,-44.99925447317537,45.29937208787125
21.11,-89.27748514256835,-44.997758251611614,44.489111293358796
21.12,-88.13188143062825,-44.984805447183874,43.67915691649404
21.13,-86.98702383471716,-44.960406411152825,42.869994016307864
21.14,-85.84336722204814,-44.92458061015988,42.06210528481405
21.150000000000002,-84.70136264037228,-44.87735655264128,41.255969616266874
21.16,-83.56145590807341,-44.818771681555475,40.452060705543055
21.17,-82.42408624384636,-44.74887223437648,39.650845686124654
21.18,-81.28968494587401,-44.667713071585624,38.852783817601335
21.19,-80.15867412971546,-44.57535747515428,38.05832523191195
21.2,-79.0314655333358,-44.471876918748535,37.26790974675658
21.21,-77.90845939677881,-44.357350811596284,36.48196575368883
21.22,-76.7900434230281,-44.23186621814165,35.700909187434355
21.23,-75.67659182553393,-44.09551755576032,34.92514258192143
21.240000000000002,-74.56846446682907,-43.94840627293169,34.1550542174477
21.25,-73.46600609153697,-43.7906405103479,33.39101736229391
21.26,-72.3695456559941,-43.622334747495685,32.63338961101003
21.27,-71.27939575563498,-43.443609437269714,31.882512320525404
21.28,-70.1958521502383,-43.25459063116608,31.138710144189695
21.29,-69.11919338617483,-43.05540959757128,30.402290662885598
21.3,-68.04968051385762,-42.84620243559521,29.673544111423055
21.31,-66.98755689778582,-42.62710968681381,28.952743197606825
21.32,-65.93304815060878,-42.39827594853444,28.240143036004905
21.330000000000002,-64.8863619906609,-42.15984949565703,27.535981045133838
21.34,-63.84768850750437,-41.91198188326526,26.840477174916728
21.35,-62.817200146810265,-41.65482757747144,26.153833939805313
21.36,-61.7950519688898,-41.388543588687696,25.47623667406
21.37,-60.781381923870946,-41.113289113332655,24.807853816548413
21.38,-59.77631118547643,-40.82922518617436,24.14883725426054
21.39,-58.7799445374333,-40.536514344471875,23.499322718580032
21.400000000000002,-57.79237080655058,-40.23532030491468,22.85943022835002
21.41,-56.81366333653647,-39.92580765418869,22.229264573813694
21.42,-55.843880496757315,-39.60814155384094,21.608915835636378
21.43,-54.883066220313786,-39.282487459963335,20.99845993338934
21.44,-53.9312505660186,-38.94901085806766,20.39795919808857
21.45,-52.98845029913806,-38.60787701339582,19.80746296365313
21.46,-52.0546694860292,-38.25925073677745,19.227008172424934
21.47,-51.12990009813951,-37.90329616604069,18.656619990219458
21.48,-50.214122621146004,-37.54017656287089,18.096312426694144
